time,ACTON275,BOL5,Densidad2_,ECE7,GR,GR2,HALFAC3,IACCEL1,RX306
1004.291,-0.029304029,-0.090354092,0.0067977845,-0.036630038,-0.021978023,-0.03907204,-0.041514043,2.1709402,0.0097680101
1004.491,-0.058608059,-0.1001221,-0.0014672446,-0.034188036,-0.024420025,-0.043956045,-0.029304029,2.1782663,0.0
1004.501,-0.056166057,-0.1025641,-0.0022345192,-0.034188036,-0.021978023,-0.046398047,-0.036630038,2.1807082,0.0
1004.5909,-0.070818074,-0.1025641,8.0765756e-05,-0.036630038,-0.021978023,-0.043956045,-0.034188036,2.1733823,0.0097680101
1004.611,-0.056166057,-0.1025641,-0.00043075072,-0.036630038,-0.021978023,-0.041514043,-0.034188036,2.1782663,-0.01953602
1004.931,-0.056166057,-0.1025641,-0.00030960207,-0.034188036,-0.021978023,-0.041514043,-0.041514043,2.1709402,-0.014652015
1005.081,-0.053724054,-0.1025641,0.00021537536,-0.036630038,-0.021978023,-0.036630038,-0.070818074,2.1782663,0.0
1005.171,-0.058608059,-0.1025641,-0.0024902776,-0.036630038,-0.021978023,-0.043956045,-0.031746034,2.1782663,0.0
1005.191,-0.056166057,-0.1025641,-0.00030960207,-0.034188036,-0.021978023,-0.043956045,-0.036630038,2.1709402,0.0048840051
1005.271,-0.041514043,-0.1025641,0.00047113359,-0.034188036,-0.024420025,-0.03907204,-0.036630038,2.1782663,0.0097680101
1005.331,-0.056166057,-0.1025641,0.0017633857,-0.036630038,-0.021978023,-0.03907204,-0.034188036,2.1709402,0.0048840051
1005.421,-0.053724054,-0.10744811,8.0765756e-05,-0.036630038,-0.021978023,-0.041514043,-0.036630038,2.1758242,0.0097680101
1005.621,-0.061050061,-0.1025641,0.0016287761,-0.036630038,-0.021978023,-0.043956045,-0.031746034,2.1733823,-0.014652015
1005.7109,-0.058608059,-0.1025641,0.0021537535,-0.036630038,-0.021978023,-0.04884005,-0.034188036,2.1758242,-0.0097680101
1005.751,-0.056166057,-0.10500611,0.00098265009,-0.034188036,-0.024420025,-0.04884005,-0.041514043,2.1660562,-0.0097680101
1005.781,-0.058608059,-0.1025641,-0.0058555175,-0.034188036,-0.021978023,-0.04884005,-0.063492067,2.1782663,-0.0097680101
1005.801,-0.058608059,-0.1025641,0.0006057432,-0.036630038,-0.021978023,-0.043956045,-0.024420025,2.1807082,0.014652015
1005.9109,-0.053724054,-0.1025641,0.0012384083,-0.036630038,-0.021978023,-0.043956045,-0.04884005,2.1684983,0.0048840051
1005.991,-0.053724054,-0.1001221,-0.0036613811,-0.036630038,-0.021978023,-0.046398047,-0.043956045,2.1782663,0.0
1006.131,-0.056166057,-0.1025641,-0.00094226719,-0.036630038,-0.021978023,-0.04884005,-0.024420025,2.1733823,-0.0048840051
1006.151,-0.058608059,-0.1025641,0.0012384083,-0.036630038,-0.021978023,-0.046398047,-0.034188036,2.1709402,0.04884005
1006.481,-0.053724054,-0.1025641,-0.0015883932,-0.036630038,-0.021978023,-0.043956045,-0.029304029,2.1782663,0.0
1006.631,-0.063492067,-0.1025641,0.0016287761,-0.036630038,-0.021978023,-0.03907204,-0.034188036,2.1782663,0.0
1006.751,-0.051282052,-0.1025641,-4.0382878e-05,-0.034188036,-0.021978023,-0.043956045,-0.036630038,2.1807082,-0.0048840051
1007.141,-0.046398047,-0.1025641,-0.0015883932,-0.034188036,-0.021978023,-0.041514043,-0.036630038,2.1733823,-0.0097680101
1007.181,-0.063492067,-0.1025641,0.00021537536,-0.036630038,-0.01953602,-0.043956045,-0.031746034,2.1782663,0.01953602
1007.241,-0.058608059,-0.1025641,0.0018845344,-0.034188036,-0.021978023,-0.046398047,-0.026862027,2.1782663,0.01953602
1007.3409,-0.058608059,-0.1025641,0.0016287761,-0.034188036,-0.021978023,-0.04884005,-0.036630038,2.1807082,0.014652015
1007.551,-0.056166057,-0.1001221,-0.0014672446,-0.034188036,-0.021978023,-0.043956045,-0.0048840051,2.1807082,0.024420025
1007.7209,-0.080586083,-0.1001221,-0.0043075071,-0.034188036,-0.021978023,-0.041514043,-0.036630038,2.1782663,0.024420025
1007.761,-0.056166057,-0.1025641,0.0011172596,-0.034188036,-0.021978023,-0.04884005,-0.034188036,2.1855922,0.034188036
1007.771,-0.058608059,-0.1025641,-0.0010768768,-0.036630038,-0.021978023,-0.041514043,-0.034188036,2.1880343,0.0097680101
1007.851,-0.056166057,-0.1001221,0.00047113359,-0.036630038,-0.021978023,-0.051282052,-0.031746034,2.1855922,0.0
